Kata,Bobot
bole,0
boleh,0
bolong,0
bolos,0
boneka,0
bongkar,0
bonihargens,0
bonyok,0
boocil,0
boomer,0
boommmm,0
boong,0
bootrina,0
boroknya,0
boros,0
bos,0
bosan,0
bosnya,0
boss,0
bosssss,0
boxing,0
boy,0
boyy,0
bpk,0
bpknya,0
br,0
brandalan,0
brani,0
brarti,0
bravo,5
bravooo,0
brcanda,0
break,-5
breaks,-5
brebes,0
brengsek,0
bring,0
bringas,0
bringasnya,0
bringass,0
brmasalah,0
brni,0
bro,0
brodii,0
brokenhearted,0
brokl,0
broo,0
broooh,0
brosss,0
brother,0
browassalam,0
browsingh,0
brp,0
brrti,0
brti,0
brtia,0
brutalisme,0
bs,-5
bsa,0
bshaya,0
bsk,0
bsok,0
bsokny,0
btw,0
bu,0
buah,0
buahahah,0
buang,0
buar,0
buas,0
buat,0
buatin,0
buatnya,0
buaya,0
bubarin,0
bubarkan,0
bubarne,0
bubur,0
bubutuh,0
buda,0
budak,0
budaya,0
buddy,0
budi,3
buh,0
bui,0
building,0
bujang,0
bujug,0
buka,0
bukalapak,0
bukan,3
bukancoba,0
bukankah,0
bukanklo,0
bukannya,0
bukti,0
buktikan,0
buktinya,0
bukty,0
buku,0
bul,0
bulan,3
buli,-4
bulingnya,-4
buliying,-5
bulli,-2
bulliiiii,-1
bullshit,-5
bully,-5
bullyan,-3
bullyan,-1
bullyer,-3
bullying,-5
bullynya,-3
bulu,1
buly,-2
bulyi,0
bulying,0
bulyng,0
bumerang,0
bumi,3
bun,0
buncit,0
bund,0
bunda,0
bundir,0
bunga,0
bunuh,0
bunuhnya,0
bursa,0
buruh,0
buruk,-3
buruknya,-2
buruksemoga,0
burung,1
busa,0
buset,0
busuk,-2
busuknyantr,0
but,0
butuh,3
buy,0
buybuyshop,0
bwa,0
bwah,0
bwh,0
byar,0
bye,0
byk,0
byngn,0
byr,0
byur,0

c,0
cabe,0
cabut,0
cacat,0
cagub,0
cair,0
cak,0
cakini,0
caleg,0
calon,0
calonkan,0
cam,0
campur,0
can,0
candaan,0
canggih,0
cangkeme,0
cant,0
cantikk,0
capek,0
capekcapeknya,0
caper,0
capres,0
capresnya,0
caption,0
captionnya,0
captionnyaaa,0
cara,0
caramu,0
caranya,0
caranyabahkan,0
careurik,0
cari,0
carimasalah,0
case,0
catat,0
catokan,0
catut,0
cawapres,0
cawapresmu,0
cawapresnya,0
cb,0
cc,0
cctv,0
ce,0
cek,0
celah,0
celana,0
celananyaheran,0
celokne,0
cemas,0
cemburu,0
cemoohan,0
cenderung,0
cengcengan,0
cengeng,0
cent,0
cepat,4
cepet,0
ceplas,0
ceplos,0
cerai,0
cerdas,0
cerira,0
cerita,0
ceritanya,0
cerminan,0
cewe,0
ceweh,0
ceweitu,0
cewek,0
cewenyaa,0
cgpkrn,0
chancutt,0
chat,0
chatacter,0
check,0
chill,-5
chin,0
china,0
chinese,0
chuaaakkkxxx,0
chuakks,0
cianjur,0
cianjurnya,0
cianjurrr,0
cibiran,0
ciderai,0
ciduk,0
cieee,0
cieeeeeee,0
cieeeeeeee,0
cih,0
cik,0
cikal,0
cil,0
cilacap,0
cilacp,0
cilek,0
cilik,0
cipanas,0
cipokan,0
ciptaan,0
circle,0
ciri,0
citra,0
cium,0
cius,0
ciut,0
ciuuuttt,0
ck,0
ckckck,0
class,0
clearmenurut,0
clickbait,0
client,0
club,0
cm,0
cma,0
cmiiw,0
cmm,0
cmn,0
cmon,0
cnn,0
coba,0
cobaan,0
cobain,0
cobalah,0
coblos,0
cocok,0
cocot,0
cocote,0
cok,0
colek,0
come,0
commit,0
competitiveness,0
conspiraciestheory,0
contoh,0
contohin,0
contohkan,0
contohnya,0
cool,5
copot,0
copotato,0
couldnt,0
counter,0
cover,0
covid,0
cowcewseenggaknya,0
cowo,0
cowok,0
cowoq,0
cpt,0
cr,0
cth,0
cthny,0
cuakcuiih,0
cuan,0
cubit,0
cuci,0
cucu,0
cucunya,0
cuek,0
cuekin,0
cuih,0
cuk,0
cukup,0
culik,0
culun,0
cuma,0
cumabecanda,0
cuman,0
curang,0
curhat,0
curiga,0
cuy,0
cw,0
cwe,0
cwek,0
cybercrime,0

dukungan,4
d,0
da,0
dada,0
dadi,0
daerah,0
daftar,0
dag,0
dagelan,0
dah,0
dahar,0
dahlahh,0
dahulu,0
dahulukan,0
dajaal,0
dajjal,0
dak,0
daki,0
daktau,0
dalah,0
dalam,0
dalih,0
dam,0
damai,0
damaian,0
damaianeh,0
damaidalih,0
damaii,0
damailah,0
damaimasukin,0
dambil,0
dampak,0
dampaknya,0
dampingi,0
dampingin,0
dampkrak,0
dan,0
dana,0
danagopayovoku,0
dandy,0
dandyanak,0
danger,-5
dani,0
dapat,0
dapet,0
dapetin,0
darah,0
dari,0
darinya,0
daripada,0
darurat,0
das,0
dasae,0
dasar,0
dasarnya,0
data,0
datang,0
datangtp,0
dateng,0
david,0
daya,0
dbeli,0
de,0
dealing,0
debat,0
debus,0
deck,0
deeply,0
definisi,0
deh,0
dehh,0
dehitu,0
dejo,0
dek,0
dekat,0
dekem,0
deket,0
dekil,0
dekk,0
dekkk,0
dekkkk,0
dekyang,0
delinquency,-5
deliver,0
demen,0
demi,0
demikian,0
demo,0
demokrasi,0
demokrat,0
denda,0
dendam,0
dengah,0
dengan,0
dengar,0
denger,0
dengki,0
dengkuluntuk,0
dengn,0
depan,0
depannya,0
departemen,0
depresi,0
derajat,0
derita,0
desain,0
desakan,0
detik,0
deui,0
deus,0
dewasa,0
dewasanya,0
dewe,0
dftarkan,0
dftr,0
dg,0
dgn,0
dh,0
di,1
dia,0
diadili,0
diadilikarena,0
diadu,0
diaelu,0
diajak,0
diajar,0
diajarkan,0
diakhirat,0
diakui,0
diakun,0
dialami,0
dialihkan,0
dialog,0
dialupa,0
diam,0
diami,0
diamkan,0
dianaaanrss,0
diananvtaaa,0
diancam,0
dianchrisnawati,0
diandalkan,0
dianggab,0
dianggap,0
dianggep,0
diangkat,0
dianiaya,0
dianiayai,0
diantar,0
diantara,0
diapain,0
diapakan,0
diaplikasikan,0
diatas,0
diatur,0
diawasi,0
dibaca,0
dibahas,0
dibakar,0
dibalas,0
dibales,0
dibalik,0
dibandingkan,0
dibanggakan,0
dibantah,0
dibantu,0
dibarisan,0
dibasmi,0
dibawa,0
dibawah,0
dibayar,0
dibebasin,0
dibedakan,0
dibeginikan,0
dibela,0
dibelakang,0
dibeli,0
dibenahin,0
dibenarkan,0
dibenturkan,0
dibere,0
diberi,0
diberikan,0
diberitakan,0
dibesarkan,0
dibiarin,0
dibiarkan,0
dibiarkanpemikirannya,0
dibiasaain,0
dibicarakan,0
dibikin,0
dibilang,0
dibilangnya,0
dibilng,0
dibina,0
dibls,0
diblur,0
dibuat,0
dibuatkan,0
dibubarkan,0
dibuka,0
dibuktikan,0
dibulli,0
dibully,0
dibuly,0
dibumi,0
dibutuhkan,0
dicabut,0
dicari,0
dicebokin,0
dicek,0
dicekek,0
diciduk,0
diciptakan,0
dickipriambudi,0
dicoba,0
dicolek,0
dicubiti,0
dicurigai,0
did,0
didaerah,0
didalam,0
didalem,0
didampingi,0
dididik,0
didik,0
didikan,0
didiklah,0
didiknya,0
didm,0
didpn,0
diduga,0
didukung,0
didunia,0
die,-5
diem,0
diemin,0
dievaluasi,0
difase,0
difoto,0
dig,0
diganti,0
digebukin,0
digebukkin,0
digi,0
diginiiin,0
diginiin,0
digital,0
digitalisasi,0
digitalnya,0
digituin,0
digocek,0
digoreng,0
dih,0
dihajar,0
dihapus,0
dihapuskan,0
dihargaidulu,0
dihhh,0
dihilangkan,0
dihina,0
dihujat,0
dihukum,0
dihutan,0
diikat,0
diiket,0
diimbangi,0
diindo,0
diindonesia,0
diingat,0
diinget,0
diingetin,0
diinjak,0
diintervensi,0
diintimidasi,0
diisi,0
dijadikan,0
dijagain,0
dijalanin,0
dijalaninya,0
dijamin,0
dijauhkan,0
dijeblokin,0
dijelasin,0
dijelaskan,0
dik,0
dikamar,0
dikan,0
dikandang,0
dikasi,0
dikasih,0
dikasusin,0
dikata,0
dikatain,0
dikatakan,0
dikawal,0
dikejar,0
dikelas,0
dikeluarin,0
dikeluarkan,0
dikemenkeu,0
dikemudian,0
dikenain,0
dikenakan,0
dikenal,0
dikendaliin,0
dikerasin,0
dikerjakan,0
diketahui,0
dikira,0
dikirim,0
dikit,0
diknas,0
dikota,0
dikritik,0
diksh,0
diksi,0
diksih,0
dikuasain,0
dilahirkan,0
dilaksanakan,0
dilakukan,0
dilalui,0
dilanda,0
dilanjutkan,0
dilapangan,0
dilapas,0
dilaporkan,0
dilarang,0
dilawan,0
dilawanudah,0
dilecehkan,0
diledekin,0
dilempar,0
dilepas,0
dilevel,0
diliat,0
dilihat,0
dilindung,0
dilindungi,0
diluar,0
diludahi,0
dilupakan,0
dimaafin,0
dimaafkan,0
dimakiada,0
dimaklumi,0
dimaksud,0
dimalang,0
dimana,0
dimanapun,0
dimanfaatin,0
dimanja,0
dimarahin,0
dimasa,0
dimasukin,0
dimasukkan,0
dimasyarakatnya,0
dimata,0
dimedsos,0
dimeja,0
dimintai,0
dimna,0
dimtile,0
dimulai,0
dimusuhi,0
dinas,0
dinilai,0
dink,0
dinormalisasi,0
dinormalisasikan,0
dipahami,0
dipajang,0
dipake,0
dipaksa,0
dipandang,0
dipastikan,0
dipelajari,0
dipelihara,0
dipemerintahan,0
dipenjara,0
dipenjarain,0
dipenjarakan,0
dipenjarakandemi,0
diperhalus,0
diperketat,0
diperkosa,0
diperlakukan,0
diperlihatkan,0
diperluin,0
diperlukan,0
dipermainkan,0
dipersilahkan,0
dipersulit,0
dipertahankanibarat,0
dipertanyakan,0
dipihak,0
dipikir,0
dipinus,0
dipitess,0
dipojok,0
diposisi,0
dipotong,0
dipretelin,0
diprogram,0
diproses,0
dipublikasikan,0
dipukul,0
dipukuli,0
dipukulin,0
dirapat,0
dirasakan,0
dirawat,0
direformasi,0
diremuk,0
direnggut,0
direvisi,0
diri,0
diriin,0
dirimau,0
dirimu,0
dirinya,0
dirombak,0
dirosting,0
dirty,-5
dirubah,0
dirugikanharis,0
dirumah,0
dirundung,0
dirusak,0
dirush,0
disabilitasiya,0
disadari,0
disadarkanstop,0
disalahkan,0
disana,0
disangsi,0
disanjung,0
disanksi,0
disayang,0
disdikdki,0
disebabkan,0
disebut,0
disekitar,0
disekolah,0
disekolahan,0
disekolahin,0
disel,0
diselesaikan,0
diselidiki,0
disensor,0
disensorbiar,0
disensorgmn,0
diserahin,0
diserahkan,0
disetujui,0
disiksa,0
disikso,0
disini,0
disisimu,0
disitu,0
diskolah,0
diskusi,0
diskusinya,0
disleding,0
disneyland,0
disorot,0
disorotyg,0
disrkolahsekolah,0
distimulasi,0
disuap,0
disudut,0
disundut,0
disupport,0
disuru,0
disuruh,0
dit,0
ditahan,0
ditakuti,0
ditambah,0
ditampilin,0
ditampilkan,0
ditanah,0
ditangan,0
ditangani,0
ditangannya,0
ditangkap,0
ditanya,0
ditanyakan,0
ditapok,0
ditarik,0
ditatar,0
ditawar,0
ditegakan,0
ditegakkan,0
ditegesin,0
ditegur,0
ditelusurin,0
ditendang,0
ditendangjaguon,0
diterapkan,0
diterima,0
diteruskan,0
dithaadhania,0
ditiadakan,0
ditiangin,0
ditindak,0
ditinggal,0
ditinggalkan,0
ditiru,0
ditoleransi,0
ditreskrimsuspoldajabar,0
ditubuh,0
dituduhkan,0
ditugaskan,0
ditunaikan,0
ditunggu,0
ditunjang,0
dituntut,0
diturunin,0
diturutin,0
ditutup,0
ditwitter,0
diubah,0
diulang,0
diungkapkan,0
diuntungkan,0
diurusin,0
diusut,0
divideokan,0
divisihumaspolri,0
diwajari,0
diwajarkan,0
diwaktu,0
diwarning,0
dizamanmu,0
dizhalimi,0
dk,0
dkasih,0
dki,0
dkrg,0
dl,0
dlgini,0
dll,0
dlm,0
dln,0
dlu,0
dlunya,0
dm,0
dmn,0
dmulai,0
dn,0
dna,0
dng,0
do,0
doa,0
doain,0
doakan,0
doalnya,0
doang,0
doank,0
dodo,0
doff,0
doi,0
doing,0
dollar,0
dolo,0
dompet,0
donafrebrianda,0
donasi,0
done,0
dong,0
donggg,0
dongggggg,0
dongharus,0
dongmasa,0
dongmenang,0
dongmereka,0
donk,0
donktumpah,0
dont,0
doong,0
dor,0
dorong,0
dosa,0
down,0
doy,0
doyaaaan,0
doyan,0
dozen,0
dp,0
dpet,0
dpn,0
dpr,0
dprd,0
dprri,0
dpt,0
dr,0
drakor,0
drama,0
dramanya,0
dri,0
drmana,0
drngan,0
drpd,0
dsana,0
dsb,0
dsuruh,0
dtagkap,0
dua,0
duajarin,0
dududu,0
duduk,0
due,0
duel,0
duet,0
dug,0
duh,0
duid,0
duit,0
duitnya,0
dukung,0
dulu,0
dulujg,0
dulunya,0
dumbasseess,0
dumpscacaa,0
dunia,0
dunk,0
dunn,0
duns,0
duplak,0
duta,0
duu,0
duwe,0
dy,0
dya,0
dzcelo,0
dzolim,0
e,0
ealah,0
earlyintannn,0
eatu,0
ebuset,0
edan,0
edge,0
editan,0
edukasi,0
edukasinya,0
eeeee,0
eeeeh,0
eeeh,0
eetapi,0
efek,0
efeknya,0
egp,0
eh,0
ehh,0
ehhh,0
ehm,0
ejekan,0
ejra,0
eksekusi,0
eksis,0
ekskul,0
eksploitasi,0
ekspos,0
ekstrim,0
ektp,0
ekwkwk,0
elah,0
eleng,0
elgafaudya,0
eling,0
elit,0
elite,5
elitternyata,0
elkizon,0
elo,0
elu,0
em,0
ema,0
emak,0
emakk,0
emaknya,0
emang,0
emangnya,0
emas,0
emg,0
emmg,0
emmmm,0
emng,0
emnk,0
emoh,0
emosi,0
empati,0
enaak,0
enak,0
enakjgn,0
enaknya,0
enaknyah,0
ending,0
endonesa,0
enek,0
engga,0
enggak,0
engggaaakkk,0
engkau,0
enjok,0
entah,0
entar,0
ente,0
enteng,0
entertaiment,0
entertainment,0
entut,0
environment,0
episode,0
eq,0
era,0
eraat,0
eritox,0
erlinafajarwati,0
es,0
esensi,0
esto,0
estos,0
eta,0
etik,0
etika,0
etikanya,0
evassegaaf,0
everything,0
excuse,-5
exnews,0
exploitasi,0
explotes,0
extra,0
extrem,0
facebook,0
fahri,0
fahrii,0
fair,5
fak,0
fake,-5
fakta,0
faktanya,0
faktornya,0
fakyu,0
family,0
famous,5
fanatiknya,0
faraahsb,0
fashion,0
fasilitas,0
fasilitasi,0
fast,5
fatal,-5
fatherable,0
fatwa,0
fc,0
februari,0
feel,0
fekaes,0
fenomena,0
ferguso,0
ff,0
fighting,0
figrmnda,0
figur,0
figure,0
figureanak,0
fihak,0
fikirke,0
film,0
finally,0
finansial,0
first,0
fisik,0
fisiknya,0
fisikpsikis,0
fisikselesai,0
fitnah,0
fix,0
flag,0
fokus,0
foll,0
fooled,-5
for,0
forever,0
forgiveness,0
format,0
foto,0
fotonya,0
fotovideo,0
foya,0
framed,0
frdliaaudnia,0
free,5
freepalestine,0
freesexs,0
friends,0
from,0
fsama,0
fsikisnya,0
fuck,-5
fuckin,0
full,0
fulus,0
fun,5
furgozooo,0
fyi,0
fyiindonesian,0
fypberita,0
fypberitafypberitaviral,0
g,0
ga,0
gaaasi,0
gaaass,0
gaada,0
gabakal,0
gabisa,0
gabung,0
gada,0
gaduh,0
gaenak,0
gaes,0
gaess,0
gag,0
gagahan,0
gagal,0
gagasan,0
gaj,0
gak,-1
gakkan,0
galanya,0
gama,0
gamau,0
game,0
gampang,0
gampangkeluarkan,0
gampar,0
gancar,0
gang,0
gangguan,0
gangnya,0
gangsterayah,0
ganjar,0
ganjaran,0
ganjarhal,0
ganjaritu,0
ganjarjadipresiden,0
ganjarmahfud,0
ganjarpranowo,0
gank,0
ganteng,0
ganti,0
gantian,0
gantikrna,0
gantung,0
gapapa,0
gaperlu,0
gapernah,0
gara,0
garacwek,0
garagara,0
garam,0
garda,0
gari,0
gas,0
gasih,0
gass,0
gassd,0
gasssssssssss,0
gatau,0
gatel,0
gaul,0
gausa,0
gausah,0
gawat,0
gawe,0
gaya,0
gayanya,0
gayapakai,0
gazazein,0
gbisa,0
gblk,0
gbr,0
gda,0
gebuk,0
gebuki,0
gebukin,0
gedabrus,0
gede,0
gegara,0
geiss,0
gejala,0
gelandangan,0
gelar,0
geleng,0
gelut,0
geluttt,0
gembellllllll,0
gemborkan,0
gemes,0
gempa,0
gempuran,0
gen,0
gendut,0
gendutan,0
generasi,0
generasibegini,0
generationmanusia,0
genetik,0
geng,0
gengan,0
genganbiar,0
gengancilik,0
gengberani,0
genggaman,0
gengnya,0
gengsi,0
genk,0
genksaya,0
gentle,5
gerak,0
gerakan,0
geram,0
gercep,0
gerik,0
gerilya,0
gerindra,0
gerombolan,0
geruji,0
ges,0
geser,0
gesper,0
getah,0
getok,0
gibran,0
gibranrakabuming,0
gigit,0
gila,0
gilaa,0
gile,0
giliran,0
gimana,0
gimanaharusnya,0
gimanajuga,0
gimanapun,0
gimmick,-5
gimna,0
gini,2
giniann,0
ginigak,0
giniiiiiiiiii,0
giniin,0
ginimohon,0
giring,0
gitu,0
gituapa,0
gitubener,0
gituh,0
gituin,0
gituinbeda,0
gituinnah,0
gitukan,0
gitukeren,0
gj,0
gk,0
gkda,0
gkg,0
glory,5
gmana,0
gmn,0
gmna,0
gmpg,0
gni,0
goblogggg,0
goblok,0
gobloke,0
gobloooooook,0
god,0
goldenhomeschoolingjkt,0
golkar,0
golongan,0
golput,0
gonggong,0
good,5
goodd,0
goreng,0
gorengan,0
gorengfokus,0
gosongkan,0
govermwnt,0
goyism,0
gp,0
gpp,0
gr,0
gram,0
gratis,0
gratisan,0
grs,0
grusa,0
grusu,0
gsh,0
gt,0
gtau,0
gtu,0
gtuan,0
gtuinmikir,0
gtutrus,0
gua,0
gub,0
gubernur,0
gubernurjakarta,0
gublugg,0
gubris,0
gue,0
gugat,0
guna,0
gunakan,0
gunanya,0
gundul,0
gundulmuuu,0
gunung,0
guru,0
gurukepala,0
gurunya,0
guys,0
guyss,0
gw,0
gwe,0
gweh,0
gws,0
gx,0
ha,0
haaaa,0
haaalaaaaahh,0
habiisss,0
habis,0
hablbamos,0
hadapi,0
hadeee,0
hadeeeeeeh,0
hadeh,0
hadehhbaru,0
hadehhh,0
hadeuh,0
hadeuuh,0
hadir,0
hadline,0
hah,0
haha,0
hahaaa,0
hahah,0
hahaha,0
hahahaha,0
hahahahhahahhahaha,0
hahhaha,0
hahhahahaha,0
haisshh,0
hajaaarr,0
hajar,0
hajarrr,0
hak,0
hakim,0
hakimin,0
hal,0
halaaaaah,0
halaah,0
halah,0
halahhh,0
halahhhhh,0
halal,0
hallo,0
halo,0
haluan,0
halus,0
halusinasimu,0
ham,0
hamil,0
hamilin,0
hamnya,0
hampir,0
hamsi,0
hancur,-2
hancurnya,-1
handsome,5
hantam,0
hantaman,0
hantamin,0
hanya,0
happy,5
hapus,0
haram,0
harap,0
harapan,0
harassment,-5
harga,0
hari,0
harimau,0
harinya,0
harrasment,0
harry,0
hars,0
harta,0
hartanya,0
harum,0
harun,0
harus,0
haruslah,0
harusnya,0
harussbhukum,0
has,0
hasil,0
hasilny,0
hasilnya,0
hasut,0
haters,-5
hati,1
hatiii,0
hatijgn,0
hatinuranimu,0
hatinya,0
hatiq,0
have,0
hayang,0
hayo,0
hbanget,0
he,0
healah,0
healing,0
health,0
hear,0
heart,0
hebaaattt,0
hebat,0
heboh,0
hedehhhh,0
hedon,0
hedonis,0
hehe,0
hehehe,0
hehehehehehe,0
hehm,0
hei,0
heidysunan,0
heiiiii,0
heleh,0
helehhhh,0
hellianrhsn,0
helllooozken,0
hemat,0
hemm,0
hemmmm,0
heng,0
henti,0
her,0
heran,0
herbal,0
here,0
hes,0
heu,0
hewan,0
hey,0
heyyyy,0
hha,0
hhhmmm,0
hi,0
hianati,0
hiatus,0
hidden,0
hidih,0
hidup,0
hidupgimana,0
hiduplah,0
hidupnya,0
hidupnyan,0
high,0
hihhhh,0
hihihi,0
hijau,0
hijraah,0
hikmah,0
hikum,0
hilang,0
hilangayah,0
hilangmya,0
