"teks","label"
"iya betul mba. Ariel gak ganteng. Tapi ariel punya kharisma yg menarik. Udah tua pun skrang agak keriput wajahnya ttp aja kharisma nya sebagai lelaki keliatan lebih terpancar. Buktinya mama, dan tante saya makin tergila2 sama ariel dan sa","no"
"euum setuju sekaliii emang cantikan ini dari pada yang sebelumnya. Lebih WOW... ?? terbaik ?? terpelihara hehe","no"
"justru karena ka bella sholehah, punya penghasilan sendiri, dan cantik jadi Allah mau kasih jodoh yang lebih baik lagi..","no"
"aurel itu cantik tau. Pernah liat asli nya kok. Org sirik itu yg menjelek jelekannya. Padahal muka sendiri belum tente lebih cantik dan muda daripada aurel. aurel difoto nampak putib bilangnya suntik putih, kelihatan hitam dibilang gk bisa ra","no"
"Astagfirullah... Mbak tolong ucapannya dijaga ya, ALLAH menciptakan manusia dengan sempurna, kok mbak ngomongnya kayak gitu. Aurel cantik kok, wajar manusia ada kekurangannya. Dan mbak Ashanti wajar belain anaknya, bukan caper ya mbak, sia","no"
"aslinya cantik dan ayu loh mbak krn aku sudah bertemu langsung juga sesembaknya sangat ramah tidak sombong seperti mantan2 yg lain hhe maaf ikut nimbrung ,kalo makeup dibuat senatural mungkin krn sesembaknya memang mau menonjolkan wa","no"
"suami saya seumuran sama saya mba, malah tuaan saya beberapa bulan tapi alhamdulillah suami saya gak kekanak kanakan hehe","no"
"@fadlizon Knp bukan Om Fadli Zon saja yg maju cawapres ","no"
"Kaka tidur yaa, udah pagi, gaboleh capek2","no"
"makan nasi padang aja begini badannya","no"
"yang aku suka dari dia adalah selalu cukur jembut sebelum manggung","yes"
"Hai kak Isyana aku ngefans banget sama kak Isyana.aku paling suka lagu kak Isyana itu lagu tetap didalam jiwa","no"
"Manusia apa bidadari sih herann deh cantik terus 😌♥️","no"
"@ayu.kinantii isyan skrg berubah ya:( baju nya nakal","yes"
"Gemesnya isyan kayak tango, berlapis lapis ciaaaa","no"
"Makin jelek aja anaknya, padahal ibu ayahnya cakep2","yes"
"Kok anaknya kayak udah tua gitu ya mukanya kk tasya","yes"
"Muka anak nya ko tua banget yaa.. GK ngegemesin GK ada lucu2nya","yes"
"Muka nya muka kolot wkwk bukan muka bayi2 lucu gt","yes"
"Udah gila sekarang ini orang wkwk, udah jomblo jadi psikolog ga laku, ya jadilah seperti itu","yes"
"Lo sintingnya udah tingkat dewa","yes"
"Sepertinya Lutfi setelah putus dgn salsa seperti orang stress","yes"
"ANAK TOLOL INI MULAI AKTIF YA BUND","yes"
"bisa mati aja ga? gedeg gua liat lu. ANJIM","yes"
"Woy Lutfi asu , sok asik Lo ANJING !","yes"
"Apasih kontol berantem aja lah ayo bngst @lutfiagizal","yes"
"Ibu kamu pelakor plus hamil di luar nikah ya? Pantesan anaknya kyk gini modelannya","yes"
"Anaknya udh pinter, maknya yang kelempengan.. berasa masih baby, tingginya azka aj melebihi mamanya..","yes"
"Anak yg cerdas terbentuk dr pola asuh sekaligus pola didik ortu yg cerdas pula sih pada saranya. Sesimple itu","no"
"Setengah iri setengah jadi motivasi ini","no"
"Ancur hidup lu kalau sama dia… Sumpah..","yes"
"serem banget muka lo mel kayak ayam potong merah banget","yes"
"Yaudah jd pengusaha kuliner aja gausah artis, makanannya emang bikin ngiler sih wkwkw","no"
"Kamu emang cocoknya jadi pengusaha kuliner udah fixs. Semoha lancat terusssss","no"
"Tak sejelek IMAGE Owner ya..? Artis ups bukan Artis? Hallo secara tidak langsung semua orang itu tau IMAGE lu jelek gentong!","yes"
"Apaan sih gak jelas hidupnya","yes"
"Sebelum aku Unfoll, aku mau bilang NAJISSSS","yes"
"muka lu sensual tapi norak kenapa dah","yes"
"Udah gk jaman ngebully orang hey netizen mending ngaca dari kekurangan sendiri","no"
"Kalau pas penempatannya, sebenernya kamu imut banget loh mel.","no"
"Cakep kaga jelek iya HAHAH","yes"
"jari jari kaki kayak jarinya tukang panggul","yes"
"Kakinya kek lagi hamil tua ya bun, semacam kaki gajah @ayuugsia","yes"
"Suka heran sama yg ngehina fisik,, ternyata bener ya kita semua pendosa dengan cara kita sendiri,,","no"
"Ini diedit biar langsing padahal mah klo live bomber badannya","yes"
"Kakinya gedong sayyy kek kaki jantan… Upp kan dia suka berbaur ama warwerwor.. Mahluk astral.. Yg kakinya gedong","yes"
"Bagusan foto pakai masker drpd gak pakai masker","no"
"@rosameldianti_ kakak foto sebelum ini. kenapa Memeknya Keliatan Tebal???? Memeknya kakak Lagi Bengkak yah???","yes"
"Bra nya kedodoran kak make ukuran gede yaa","yes"
"Nah ini cantik seneng. Usahanya membuahkan hasil. Semangat ya mel semoga menjadi pribadi yang lebih baik lagi","no"
"mba bisa gk sih, kalau gk merem melek gitu matanya kaya orang cacingan","yes"
"Semoga lancar terus usahanya mel","no"
"Cantik banget kalo meldi muka natural kek gini","no"
"Lu diem aja cantik mel kalo ga banyak gaya serius","no"
"Kaku kek kanebo kering hahaha","yes"
"Semakin glowing say… natural kayak gini bagus tambahin prestasi nya ya say","no"
"Meldi, emaknya buka klinik totok aura kayaknya anaknya gak pernah ditotok ya… auranya gak keliatan yg ada malah butek","yes"
"Karena muka lo pasaran mel, di pasar sapi juga ada yang mirip noh","yes"
"Maap kalau gua sering nyamain lu sama dugong soalnya emang mirip","yes"
"Iya lo kamu mirip monyet mel","yes"
"Bagusan pantat panci aing atuh anjir","yes"
"Ya emang ga ada yang sama soalnya muka kamu sama dengan muka badak, muka beton, ga ada malu,,,","yes"
"Kok mbak meldi sekarang tambah cantik ya rahasianya apa..","no"
"Lengannya gempal banget sih HAHA","yes"
"Fix yang komen semua nyela","no"
"Udah ka gausah digubris gausah dipikirin. Bersyukur aja sama nikmat tuhan yang udah dikasih ke kaka. Gausah juga ngatain orang ka, tetep bersyukur atas nikmatnya","no"
"Jari jari nya gede gede banget, apalagi pas ngiklan makan ikan danau hambar, jarinya kayak jempol semua hawak bener","yes"
"Jangan disamain muka @rosameldianti_ sama orang oi. Mintanya disamain sama babi","yes"
"Ga ada yang dibawah Meldi, semuanya setara, ada kekurangan ada kelebihan","no"
"Ka mel gausah merendahkan orang lain. Bersyukur aja diatas langit juga masih ada langit lagi","no"
"Mukanya kalau gak dibantu kamera dekil dan kumel","yes"
"Semua wanita cantik, jangan suka merasa lebih ah","no"
"Meldi udah dapat kontrak endorse skincare ya tapi kok mukanya tetap jelek si?","yes"
"Gila Netizen pada sempurna ngehina orang terus","no"
"Semua dah pada ngembang… habis di berapa cowo meldi?... enak ya di otak atik","yes"
"Karena muka kayak elo pasaran dan murah…","yes"
"Muka buluk kepedean lagi.. muka udah tua","yes"
"Muka lu kaya tai wkwkwk","yes"
"Sakit jiwa ini upil gajah… Kasihan","yes"
"Jelek macam buntut kuali hahaha","yes"
"Meldi tambah kurusan sekarang ya??? Cantik walaupun tanpa make up…","no"
"Elu juga semoga semakinlebih baik dalam segala hal, terutama akhlak dan etikanya","no"
"Mbak mell sehat dan sukses ya","no"
"Aamiin. Doa baik juga untuk Meldi","no"
"Selamat tahun baru mbak, semoga jadi pribadi yang lebih baik amin","no"
"Meldi ini lama lama cantik loh tinggal dibenerin akhlak dan adabnya pasti makin sip","no"
"Pengambilan fotonya sudah bagus mantap dan keren.. tinggal pengambilan ARWAH nya aja yang belum","yes"
"Nggak ada cantik-cantik nya hahaha","yes"
"Kasian editornya sih ini, nanggung dosa banget kayaknya ngeditnya offside gini","yes"
"Lama lama mirip dewi persik ya","no"
"pada julid padahal kan meldi gak nyusahin kalian","no"
"ini foto apa w masukin museum aja ya ga ada pantas2nya","yes"
"Nggak ngumpul bareng mami isa lagi kan kamu yang paling gembrot disana","yes"
"Lagu lu ga ada yang laku ya mel??","yes"
"Lututnya masih hitam gosok maning biar tambah cling dan cantik","yes"
"Suka heran sama warga +62 sukanya ngehujat orang mulu, dapat pahala kagak dosa mah iya","no"
"Tambah cantik aja rosa meldianti","no"
"Jadi diri sendiri, jangan jadi ular apalagi dugong","yes"
"Saya kok suka ya sama mereka harmonis","no"
"Cantik banget kalau pakai baju kayak gitu","no"
"Jujur ya kamu kalo anteng ga buat masalah cantik mel","no"
"Cowoknya ga ada cakep cakepnya","yes"
"Di foto tirus.. Kalo di video wariorr kok mukanya kek donat gak ada bentuknya","yes"
"Dari sekian banyak foto yang diposting, ini yang paling cantik","no"
"Artis abal-abal.. Muka putih tangan hitam… ager2 ATM nya udah isi berapa sekarang","yes"
"Itu muka kayak penuh tekanan banget","yes"
"@rosameldianti_ cowokmu wajah nya culun dan cupu kayak om2","yes"
"Masyaallah cantik terlihat sopan dan anggun","no"
"Kang ojek kali belang tangannya","yes"
"Seneng liat pasangan ini cewenya di hujat 1 indonesia tapi dia tetep setia nemenin","no"
"Dia memutuskan menjadi tumbal apartment","yes"
"makin cantik mel, semangat dietnyaa","no"
"Itu tangan apa paha haha….","yes"
"Mel disini kamu keliatan cakep","no"
"Mukanya kayak lagi ngeden pas boker","yes"
"Aduuh.. terlalu halu.. hhahaha lebay editan nyaa lemak kemana lemak… hahhaaa.. mimpi ketinggian..","yes"
"salfok sama kaki, tapi cantik banget asli","no"
"@_dy1412 buset cantik diedit aja mba, coba dah aslinya dah kayak buntelan kentut…","yes"
"atas bawah hitam putih, kek kopi luwak","yes"
"Palsu badane diedit semua tu, aslinya dimana2 lemak","yes"
"Udah dapat kontrak dari skincare ttp aja buluk mel","yes"
"heran sama netizen klo gk suka jangan diliat aja","no"
"sukses selalu yah ka @rosameldianti_ semangat","no"
"Jujur aku lebih suka meldi yang sekarang daripada yang dulu suka ngehujat orang","no"
"sumpah aslinya muka lo lebar kayak baskom loh mel @rosameldianti_","yes"
"Berkarya teros meldi walo ga ada yg nuntun kamu.","no"
"Astaghfirullah, seram sekali ya bun seperti ular jelmaan makhluk halus ya bun","yes"
"Dan yang paling saya heran cowokpun ikut ngebully, sabar meldi.","no"
"Astaga… Ratu edit muka.. Sumpah seren kayak film setan2 gitu…..","yes"
"Matanya kayak katarak anjir AHAHAH","yes"
"Caption aja COPAS! Cantumin credit dong, dasar iblis","yes"
"Unfoll aja daripada kalian dosa ngebully2 terus..","no"
"Meldi aku perhatikan kamu seperti orang china deh.. cantik","no"
"Editan softlensnya keluar itu mbaknya, kayak ratu titisan ular kamu wkwkwk","yes"
"Kasihan ular dibawa bawa kamu gak pantas jadi ular pantasnya jadi bunglon atau buaya..","yes"
"Maju trus ya sayang.. abaikan orang2 yg comment menyakitkan","no"
"Kasihan ya kamu @rosameldianti_ Hidup sekali cuman buat bahan hujatan masyarakat… Mubadzir banget deh hidup lo… Napa gak bunuh diri aja?","yes"
"Semangat mel, bahasa asing mah yang penting kita berani pasti entarnya bisa","no"
"Beda sama d foto yaa.. Disini lebar banget mukanya maaf itu kalau foto editan ya","yes"
"Meldi meskipun kadang mulut ku tak bisa di rem karena kehaluanmu, tapi aku bangga akan berusaha mu, yuhuuu","no"
"Lupa di edit ya tu muka melar","yes"
"Semangatt, kesalahan dalam belajar bahasa asing itu penting. Karena itu pembelajaran utamanya, supaya kesalahannya ga terulang","no"
"Kereennnn.. dari bully.an netizen menjadikanmu mau belajar","no"
"Hiiihhh jiik lihat nih orang… auranya buruk bgt gak ada manis manisnya","yes"
"Semangat untuk belajar ya… saya uga gak bisa bahasa inggris","no"
"Yang penting ada niat.. dan keberanian","no"
"Salut Mel.. semangat belajar, yg ngetawain juga belum tentu bisa Dan berani..","no"
"Gpp Mel semangat buat belajar trusssss jangan gampang nyerah pokoknya @rosameldianti_","no"
"Setidaknya dia ngaku. bukan belagak pintar","no"
"Masih jauh kalo ngarep bisa ikutan kontes miss earth , makanya dari kecil les inggris biar lidahnya gak keseleo","yes"
"Cuma di postingan ini ya bund netizen sedikit yang menghujat","no"
"Happy birthday Mel sehat dan Sukses yah, Aamiin","no"
"Happy Birthday kak Meldi yang imut n ngegemesin. Tambah sukses selalu","no"
"Ya ampun ketiak dan lemaknya editan parah wkwk","yes"
"Ketiaknya habis di amplas mel, alus banget","yes"
"Udah diedit gitu, ketiak lu tetap hitam","yes"
"Selamat ulang tahun mel, udah yah jangan banyak tingkah","no"
"Mukanya kuning banget kaya kunyit","yes"
"Selamat ulang tahun meldi sukses dan sehat terus ya….","no"
"Fotonya lainnya jangan yang ini, kan masih banyak yang lebih cantik ihhh biar gak kena hujat kamu ihh, aku mah kasihan","no"
"HBD meldi… Semoga sukses selalu dan panjang umur dan rejekinya di lancarkan.. Amin","no"
"Perasaan kemarin lengannya kekar banget kek petinju, udah gitu ketiaknya juga hitam. Kok difoto ini lengannya jadi kecil, ketiaknya putih kek dibedakin","yes"
"Selamat Ulang Tahun kak @rosameldianti_, banyaknya sadar dan jangan pansos lagi yah. Amin","no"
"Hbd cantik semoga kedepannya tambah sukses","no"
"Hbd mbak mel tambah cantik di panjangkan umurnya dan sehat selalu","no"
"berdiri di kaki sendiri lebih baik","no"
"Biar di edit2 kaya apa juga tetap aja ketiak hitam nya ga bisa di bohongin","yes"
"Sumpah demi apapun.. Lengan nya gede banget","yes"
"Selamat ulang tahun panjang umur sampai ketemu dajjal","yes"
"Ketiak hitam buluk mau lu edit nutupin daki diketek lu tetap aka hitam ketiak lu, dasar Dugong @rosameldianti_","yes"
"Di atm tinggal 150 ribu aja banyak gaya lu dugong","yes"
"Gak ada bagus2nya suara dan polanya….","yes"
"Si Meldi jelek aja banyak gaya. Beda banget sm tante n sepupunya yang udah jelas2 cantik","yes"
"Tapi dia sekarang dah berubah gak kayak dulu kalau yang gue lihat","no"
"Ngedit ketiaknya berapa lah dah itu ya ampe ngeblur pisan.. Putihnya kek cat tembok","yes"
"Aduh dugong masih aja gila filter….","yes"
"Sekarang bukan muka aja yang didempul, tapi ketiak juga","yes"
"Kasian kebelet artis tapi gak punya bakat","yes"
"Yang merasa peliharaannya lepas, tolong diangkut","yes"
"Miris banget… ultah bukan didoain yang baik2 tapi tetap di bully kasian !! God bless u mel","no"
"Mudah mudahan lu jadi gembel. Amin ya Allah","yes"
"Ketiaknya hitam dikasih bedak jadi nya abu monyet","yes"
"Heran gua mah kalau gasuka gausah di follow dah tau ni akun private kalo lu tetap follow dan ngebuli tanda nya lu sirik. Gasuka ya gausah diliat, kaya dirinya sempurna aja","no"
"Gua berharap lu aja si yg sakit bukan laura lol","yes"
"Harusnya lo aja yang menderitaaa bukan lora anj!!!!!!!!!","yes"
"GAGA SEMPET BENERAN LORA LO TINGGALIN, LO ORANG PALING JAHAT GA!!!! LO GAK BAKAL BAHAGIA GA","yes"
"Lu bener ga.kalo sempet nyakitin lora gue santet!!!!!","yes"
"Si gaga kok kek anjing","yes"
"Semangat gaga, jangan liat kebelakang fokus aja kedepan, masih muda masih banyak yg lebih baik juga.","no"
"Gak ada cantiknya. Gila yang ada","yes"
"meldi makin bersinar yaaa, pertahanin karir jgn di sia siain","no"
"Tetap semangat…. sebaik apapun kamu akan dalah Dimata pembenci…..","no"
"Asli gak ada bebet bobo ni anak. kasihan sekali.","yes"
"kumat… lama semedinya segini keluarnya","yes"
"Tangannya hitam… beda ama muka","yes"
"Kok meldi di foto aku gendut beda","yes"
"Gatau sih, cantik tapi gak ada aura nya sama sekali . Cantik tapi idih gitu lihatnya , kenapa yaa ??","yes"
"Baik buruk nya kamu akan tetap terlihat buruk di mata mereka yang ga menyukai mu..","no"
"Gila ni siluman,, di story orang lain keliatan banget tumpukan2 lemaknya, buriknya apalagi","yes"
"Dasar Bego lu.. gua jijik sama lu bro kayak gak punya otak banget","yes"
"Lo kira lo bagus tuh begitu anjing wkwkw","yes"
"Di maafin aaa… semoga dia jera untuk kedepannya…","no"
"Eh bocah mending Lo mati aja GAK guna juga ada orang kayak lo hahahahaha","yes"
"Btw yang video tapi boong itu dia buat nya tahun lalu bukan pas masalah yang sekarang kalau gak percaya lihat tribun news jadi jangan hujat dia lagi ya","no"
"Okay bro kalem aja, tetap semangat dan jangan putus asa","no"
"Lu Mati ajalah . Udah biar gak bikin ribet","yes"
"SAMPAH MASYARAKAT HARUS DI MUSNAHKAN SEGERA","yes"
"MATI KAU NAJIS KONTOL BANGSAT MATI KAU","yes"
"youtuber toxic, tutup akunmu sekalian tutup usia","yes"
"Pada ribet kayak udah pada benar aja lu semua","no"
"Jangan ada hitam diatas putih. Langsung proses","no"
"Kalau sayang sama anaknya ya di serahkan aja ke polisi biar di didik sekalian","no"
"Manusia apa hewan sih kok gak punya hati banget","yes"
"Manusia anjing. Nyari uang gitu amat. Lo kerja aja sama gue nyebokin gue ntar gue gaji lo.","yes"
"maklum anak kurang pendidikan kayak gitu gak punya akhlak","yes"
"Anjing memang anak gak tau diri. ibunya sampai nangis2","yes"
"oi babi gue bunuh lu kalau sampai kelihatan sumpah","yes"
"Heee sampah lu udah gua maafin TAPI BOONG GOBLOK","yes"
"ANJING SINI LO BAKU HANTAM AYO","yes"
"Bangkit ya bang jangan lemah buat pelajaran dan ujian buat lu jadi yang lebih baik lagi bang","no"
"Jangan patah semngat kak sukses terus","no"
"Semangat Ferdian gausah dengerin orang yang hujat kamu, karena semua manusia tidak luput dari kesalahan","no"
"Sumpah sekarang aku respect banget sama kamu","no"
"Menurutku pribadi, dia tulus minta maafnya….","no"
"DIKASIH BIDADARI MAUNYA BONEKA SANTET","yes"
"Ilang respect gue.. padahal jane udh setia bgt sama lu, tapi lu nya main cewe pas udh keluar dri penjara.. lol","no"
"Hapus ajh ni poto ngk tau malu bgt lu bang","no"
"Intinya gasuka ajg selama ada listy . Ngrusak suasana","yes"
"Di foto ini ada 2 anjing dan 1 kontol","yes"
"kasian banget Jane udah nunggu keluar penjara eh taunya :), waw sakit siih","no"
"Puny cewk baik di selingkuhin g ngotak","yes"
"Inget yg di potong itu masalah nya bukan hubungan nya, tapi kalo udah gini sembeleh aja orang nya :) udah terlanjur kecewa","yes"
"Ini buat konten.. masa putus foto tabi sama jessica engga dihapus ?","no"
"Tiap mau makan dibikin ama jess tpi malah ngehianatin gila sih","no"
"Parah lu bang nama lu udh rusak karna narkoba malah nambah masalah ajh truss","no"
"Ini anjing Kok mirip ya sama Erick","yes"
"Muka Pasan sok sok an mau sm lonte lo anjing","yes"
"Lu sama anjingnya, lebih baik anjingnya","yes"
"IH ADA BABI JGN MEGANG TUH ANJING HARGA DIRINYA LEBIH TINGGI DRIPADA LO","yes"
"Santuy aja bang ga usah di tanggepin,btw gw suka gaya lo","no"
"Narkoboy kontol, Cuma bisa maen cewe sama nyakitin doang lu anjing, mati aja lu bego","yes"
"TETEP PENJARA AJA AJG NYUSAHIN LO KELUAR","yes"
"cewe cakep, setia kok disia sia in sahabat","no"
"loh kok ak liatnya anjing semua yaa","yes"
"Anjingnya ada dua kok guys, tapi kok lagi satu gue liat ada babi item","yes"
"Mantan Anjing, eh kebalik anjing mantan","yes"
"Bikin skandal karena kepengen tenar?","no"
"Wiii anjay kapan lagi liat babi megang 2 anjing","yes"
"Ini adalah foto babi sedang memeluk anjing yg pemilik nya adalah bidadari","yes"
"Babi g pantes nyentuh anjingnya bidadari, nanti kotor.","yes"
"SESAMA ANJING FOTO DULU YA KAN","yes"
"potret seorjing memegang anjing kwkw","yes"
"HEH UDH NAPA HATE NYA CAPE GW BACA NYA","no"
"WADUH MALAH LEBIH GANTENG ANJINGNYA. EH EH BAHKAN LU GA PANTES DISEBUT ANJING. ANJING KAN SETIA PANTESNYA SIH BABI HAHAHAHA","yes"
"kalo lomba samaan sm babi, babi nya nmr 2","yes"
"Si anjing ketika berfoto dengan si anjing","yes"
