classified_text,tweet_text,sentence_score,nilai_sentiment,sentiment_label,text_clean
sirat nya anies personal perintah masuk [Negative (3.0)] kabinet [Negative (4.0)] menang [Negative (6.0)], sirat nya anies personal perintah masuk kabinet menang,['sirat nya anies personal perintah masuk [Negative (3.0)] kabinet [Negative (4.0)] menang [Negative (6.0)]'],-5.0,Negative,sirat nya anies personal perintah masuk kabinet menang
anis oposisi [Negative (3.0)] bikin partai yaa, anis oposisi bikin partai yaa,['anis oposisi [Negative (3.0)] bikin partai yaa'],-3.0,Negative,anis oposisi bikin partai yaa
mas rubah diri [Negative (1.0)] maju pimpin rakya, mas rubah diri maju pimpin rakya,['mas rubah diri [Negative (1.0)] maju pimpin rakya'],0.0,Neutral,mas rubah diri maju pimpin rakya
udh kalah [Negative (4.0)] janji kasi [Negative (3.0)] oendukung nya janji khianat [Negative (4.0)] orbowo langgar janji, udh kalah janji kasi oendukung nya janji khianat orbowo langgar janji,['udh kalah [Negative (4.0)] janji kasi [Negative (3.0)] oendukung nya janji khianat [Negative (4.0)] orbowo langgar janji'],-4.0,Negative,udh kalah janji kasi oendukung nya janji khianat orbowo langgar janji
anies jatuh [Negative (3.0)] kontestasi politik [Negative (1.0)] sebenernya [Negative (1.0)] sengaja [Negative (2.0)] kasi [Negative (5.0)] banget [Positive (1.0)] pribadi bunuh [Negative (5.0)] beliau anggota [Negative (3.0)] etik kpk nama masuk [Negative (3.0)] bursa capres demokrat aktivitas sosial [Positive (4.0)] indonesia ajar [Negative (3.0)] udah jalan jejak akademisi integritas pintar beliau udah beliau jubir kampanye [Positive (3.0)] jokowi, anies jatuh kontestasi politik sebenernya sengaja kasi banget pribadi bunuh beliau anggota etik kpk nama masuk bursa capres demokrat aktivitas sosial indonesia ajar udah jalan jejak akademisi integritas pintar beliau udah beliau jubir kampanye jokowi,['anies jatuh [Negative (3.0)] kontestasi politik [Negative (1.0)] sebenernya [Negative (1.0)] sengaja [Negative (2.0)] kasi [Negative (5.0)] banget [Positive (1.0)] pribadi bunuh [Negative (5.0)] beliau anggota [Negative (3.0)] etik kpk nama masuk [Negative (3.0)] bursa capres demokrat aktivitas sosial [Positive (4.0)] indonesia ajar [Negative (3.0)] udah jalan jejak akademisi integritas pintar beliau udah beliau jubir kampanye [Positive (3.0)] jokowi'],0.0,Neutral,anies jatuh kontestasi politik sebenernya sengaja kasi banget pribadi bunuh beliau anggota etik kpk nama masuk bursa capres demokrat aktivitas sosial indonesia ajar udah jalan jejak akademisi integritas pintar beliau udah beliau jubir kampanye jokowi
ubah rumah [Positive (3.0)] udh bagus [Negative (4.0)] fasilitas [Negative (5.0)] aman eeh renovasi [Positive (4.0)] mudhorot nyari [Negative (2.0)] proyek ajaa anies, ubah rumah udh bagus fasilitas aman eeh renovasi mudhorot nyari proyek ajaa anies,['ubah rumah [Positive (3.0)] udh bagus [Negative (4.0)] fasilitas [Negative (5.0)] aman eeh renovasi [Positive (4.0)] mudhorot nyari [Negative (2.0)] proyek ajaa anies'],4.0,Positive,ubah rumah udh bagus fasilitas aman eeh renovasi mudhorot nyari proyek ajaa anies
ubah sih rubah lawan [Negative (4.0)] laku dng bener [Negative (1.0)] kaya [Negative (2.0)] hilir [Positive (4.0)] stop [Negative (3.0)] nikel jual [Positive (1.0)] mentah stop [Negative (3.0)] aga laen emang, ubah sih rubah lawan laku dng bener kaya hilir stop nikel jual mentah stop aga laen emang,['ubah sih rubah lawan [Negative (4.0)] laku dng bener [Negative (1.0)] kaya [Negative (2.0)] hilir [Positive (4.0)] stop [Negative (3.0)] nikel jual [Positive (1.0)] mentah stop [Negative (3.0)] aga laen emang'],-3.0,Negative,ubah sih rubah lawan laku dng bener kaya hilir stop nikel jual mentah stop aga laen emang
don understand people who hate [Negative (5.0)] anies but love [Negative (3.0)] jokowi totally weird, don understand people who hate anies but love jokowi totally weird,['don understand people who hate [Negative (5.0)] anies but love [Negative (3.0)] jokowi totally weird'],-3.0,Negative,don understand people who hate anies but love jokowi totally weird
nis ubah jual [Positive (1.0)] agama [Negative (3.0)], nis ubah jual agama,['nis ubah jual [Positive (1.0)] agama [Negative (3.0)]'],-3.0,Negative,nis ubah jual agama
gubernur aja [Positive (1.0)] udah bang rakyat jkt udah siksa [Negative (5.0)] rakyat prov siksa [Negative (5.0)], gubernur aja udah bang rakyat jkt udah siksa rakyat prov siksa,['gubernur aja [Positive (1.0)] udah bang rakyat jkt udah siksa [Negative (5.0)] rakyat prov siksa [Negative (5.0)]'],-5.0,Negative,gubernur aja udah bang rakyat jkt udah siksa rakyat prov siksa
seru [Negative (5.0)] ama percaya [Positive (2.0)] diri [Positive (4)] oposisi [Negative (3.0)] full counter manut manut tuh legislatif, seru ama percaya diri oposisi full counter manut manut tuh legislatif,['seru [Negative (5.0)] ama percaya [Positive (2.0)] diri [Positive (4)] oposisi [Negative (3.0)] full counter manut manut tuh legislatif'],4.0,Positive,seru ama percaya diri oposisi full counter manut manut tuh legislatif
all in prabowo anies duet [Negative (2.0)] kakak anies novel [Positive (2.0)] baswedan all in anies novel [Positive (2.0)] baswedan, all in prabowo anies duet kakak anies novel baswedan all in anies novel baswedan,['all in prabowo anies duet [Negative (2.0)] kakak anies novel [Positive (2.0)] baswedan all in anies novel [Positive (2.0)] baswedan'],0.0,Neutral,all in prabowo anies duet kakak anies novel baswedan all in anies novel baswedan
gara [Negative (4.0)] prabowo oposisi [Negative (3.0)] alias menteri jokowi image [Negative (2.0)] demokrasi luntur [Negative (3.0)] oposisi [Negative (4.0)] kendor periode, gara prabowo oposisi alias menteri jokowi image demokrasi luntur oposisi kendor periode,['gara [Negative (4.0)] prabowo oposisi [Negative (3.0)] alias menteri jokowi image [Negative (2.0)] demokrasi luntur [Negative (3.0)] oposisi [Negative (4.0)] kendor periode'],-4.0,Negative,gara prabowo oposisi alias menteri jokowi image demokrasi luntur oposisi kendor periode
saran [Negative (3.0)] anies mending [Negative (3.0)] bikin partai aja [Positive (1.0)] tetep suara [Negative (1.0)] ubah masuk [Negative (3.0)] parlemen [Negative (4.0)] nganterin presiden, saran anies mending bikin partai aja tetep suara ubah masuk parlemen nganterin presiden,['saran [Negative (3.0)] anies mending [Negative (3.0)] bikin partai aja [Positive (1.0)] tetep suara [Negative (1.0)] ubah masuk [Negative (3.0)] parlemen [Negative (4.0)] nganterin presiden'],-4.0,Negative,saran anies mending bikin partai aja tetep suara ubah masuk parlemen nganterin presiden
iya kasi [Negative (3.0)] ya [Positive (4.0)] kecewa rakyat jakarta indonesia hindar kecewa thn depan, iya kasi ya kecewa rakyat jakarta indonesia hindar kecewa thn depan,['iya kasi [Negative (3.0)] ya [Positive (4.0)] kecewa rakyat jakarta indonesia hindar kecewa thn depan'],4.0,Positive,iya kasi ya kecewa rakyat jakarta indonesia hindar kecewa thn depan
prabowo lingkar [Negative (3.0)] pks kalah [Negative (4.0)] untung [Negative (1.0)] ubah menang [Negative (5.0)] cepat [Negative (4.0)] ubah lingkar [Negative (3.0)] anies biar [Negative (3.0)] sak senasip amien rais [Positive (3.0)], prabowo lingkar pks kalah untung ubah menang cepat ubah lingkar anies biar sak senasip amien rais,['prabowo lingkar [Negative (3.0)] pks kalah [Negative (4.0)] untung [Negative (1.0)] ubah menang [Negative (5.0)] cepat [Negative (4.0)] ubah lingkar [Negative (3.0)] anies biar [Negative (3.0)] sak senasip amien rais [Positive (3.0)]'],0.0,Neutral,prabowo lingkar pks kalah untung ubah menang cepat ubah lingkar anies biar sak senasip amien rais
masyallah anis sy ttp baris apa [Negative (3.0)] putus [Negative (6.0)] allah [Positive (5.0)] nya saksi [Positive (1.0)] th, masyallah anis sy ttp baris apa putus allah nya saksi th,['masyallah anis sy ttp baris apa [Negative (3.0)] putus [Negative (6.0)] allah [Positive (5.0)] nya saksi [Positive (1.0)] th'],-5.0,Negative,masyaaallah anis sy ttp baris apa putus allah nya saksi th
bikin percaya [Positive (2.0)] ilang [Negative (5.0)] ya [Positive (4.0)], bikin percaya ilang ya,['bikin percaya [Positive (2.0)] ilang [Negative (5.0)] ya [Positive (4.0)]'],-5.0,Negative,bikin percaya ilang ya
paksa [Negative (4.0)] ubah nya ubah paslon no mungut [Negative (2.0)] suara [Negative (1.0)] blm lengkap [Negative (3.0)] kpu deklarasi [Negative (3.0)] ubah sy tau [Negative (4.0)] capres paslon no benci [Negative (5.0)] presiden jokowi pikir [Negative (2.0)] lawan [Negative (5.0)] kerja [Positive (2.0)] jokowi ngotot [Negative (5.0)] banget [Positive (1.0)] ubah, paksa ubah nya ubah paslon no mungut suara blm lengkap kpu deklarasi ubah sy tau capres paslon no benci presiden jokowi pikir lawan kerja jokowi ngotot banget ubah,['paksa [Negative (4.0)] ubah nya ubah paslon no mungut [Negative (2.0)] suara [Negative (1.0)] blm lengkap [Negative (3.0)] kpu deklarasi [Negative (3.0)] ubah sy tau [Negative (4.0)] capres paslon no benci [Negative (5.0)] presiden jokowi pikir [Negative (2.0)] lawan [Negative (5.0)] kerja [Positive (2.0)] jokowi ngotot [Negative (5.0)] banget [Positive (1.0)] ubah'],-5.0,Negative,paksa ubah nya ubah paslon no mungut suara blm lengkap kpu deklarasi ubah sy tau capres paslon no benci presiden jokowi pikir lawan kerja jokowi ngotot banget ubah
indonesia jakarta doang [Negative (1.0)] gampang [Negative (4.0)] kibulin, indonesia jakarta doang gampang kibulin,['indonesia jakarta doang [Negative (1.0)] gampang [Negative (4.0)] kibulin'],-4.0,Negative,indonesia jakarta doang gampang kibulin
partai dukung [Positive (4.0)] prabowo subianto parlemen [Negative (3.0)] golkar gerindra demokrat pan lawan [Negative (4.0)] tim [Negative (5.0)] oposisi [Negative (4.0)] pdi pkb pks nasdem perintah prabowo demo [Negative (3.0)] drama [Negative (5.0)] walk out sidang [Negative (3.0)] kubu oposisi [Negative (3.0)], partai dukung prabowo subianto parlemen golkar gerindra demokrat pan lawan tim oposisi pdi pkb pks nasdem perintah prabowo demo drama walk out sidang kubu oposisi,['partai dukung [Positive (4.0)] prabowo subianto parlemen [Negative (3.0)] golkar gerindra demokrat pan lawan [Negative (4.0)] tim [Negative (5.0)] oposisi [Negative (4.0)] pdi pkb pks nasdem perintah prabowo demo [Negative (3.0)] drama [Negative (5.0)] walk out sidang [Negative (3.0)] kubu oposisi [Negative (3.0)]'],4.0,Positive,partai dukung prabowo subianto parlemen golkar gerindra demokrat pan lawan tim oposisi pdi pkb pks nasdem perintah prabowo demo drama walk out sidang kubu oposisi
bacoott mending [Negative (3.0)] jual [Positive (2.0)] obat [Negative (3.0)] laku, bacoott mending jual obat laku,['bacoott mending [Negative (3.0)] jual [Positive (2.0)] obat [Negative (3.0)] laku'],-3.0,Negative,bacoott mending jual obat laku
saran [Negative (3.0)] anis total konsisten ubah mesti ubah rubah mindset apriori program visioner nyata [Negative (2.0)] hasil [Positive (3.0)] terus bukti [Negative (3.0)] tangan [Positive (1.0)] program hasil [Positive (3.0)] masyarakat sportif [Positive (3.0)] minimal [Negative (3.0)] ragu [Negative (4.0)] apresiasi dar saran [Negative (3.0)] cmiiw, saran anis total konsisten ubah mesti ubah rubah mindset apriori program visioner nyata hasil terus bukti tangan program hasil masyarakat sportif minimal ragu apresiasi dar saran cmiiw,['saran [Negative (3.0)] anis total konsisten ubah mesti ubah rubah mindset apriori program visioner nyata [Negative (2.0)] hasil [Positive (3.0)] terus bukti [Negative (3.0)] tangan [Positive (1.0)] program hasil [Positive (3.0)] masyarakat sportif [Positive (3.0)] minimal [Negative (3.0)] ragu [Negative (4.0)] apresiasi dar saran [Negative (3.0)] cmiiw'],0.0,Neutral,saran anis total konsisten ubah mesti ubah rubah mindset apriori program visioner nyata hasil terus bukti tangan program hasil masyarakat sportif minimal ragu apresiasi dar saran cmiiw
sabar [Positive (5.0)] aja [Positive (1.0)] deh bacain komen mana baris komen angin imam [Negative (3.0)] mahdi [Positive (3.0)] malaikat dsb inti isi [Negative (5.0)] isi [Negative (6.0)] komennya kayak [Negative (3.0)] bocah suka [Negative (1.0)] ngolok orang nyolot aja [Positive (1.0)] neng [Negative (1.0)] ya [Positive (4.0)] salam udahlah emang kualitas [Positive (4.0)] bangsa pantesan [Negative (2.0)] kasih [Negative (1.0)] gelar [Positive (2.0)] iq rendah [Negative (5.0)] dunia [Negative (2.0)] netizen bar pikir [Negative (2.0)] keren miris [Negative (4.0)], sabar aja deh bacain komen mana baris komen angin imam mahdi malaikat dsb inti isi isi komennya kayak bocah suka ngolok orang nyolot aja neng ya salam udahlah emang kualitas bangsa pantesan kasih gelar iq rendah dunia netizen bar pikir keren miris,['sabar [Positive (5.0)] aja [Positive (1.0)] deh bacain komen mana baris komen angin imam [Negative (3.0)] mahdi [Positive (3.0)] malaikat dsb inti isi [Negative (5.0)] isi [Negative (6.0)] komennya kayak [Negative (3.0)] bocah suka [Negative (1.0)] ngolok orang nyolot aja [Positive (1.0)] neng [Negative (1.0)] ya [Positive (4.0)] salam udahlah emang kualitas [Positive (4.0)] bangsa pantesan [Negative (2.0)] kasih [Negative (1.0)] gelar [Positive (2.0)] iq rendah [Negative (5.0)] dunia [Negative (2.0)] netizen bar pikir [Negative (2.0)] keren miris [Negative (4.0)]'],-4.0,Negative,sabar aja deh bacain komen mana baris komen angin imam mahdi malaikat dsb inti isi isi komennya kayak bocah suka ngolok orang nyolot aja neng ya salam udahlah emang kualitas bangsa pantesan kasih gelar iq rendah dunia netizen bar pikir keren miris
oleh suara [Negative (1.0)] liat [Negative (1.0)] prabowo capres anies konsisten kelak anies presiden konsisten anies komentar konsisten prabowo oposisi [Negative (3.0)] moga [Positive (1.0)] bukti [Negative (3.0)] apa [Negative (4.0)] jalur [Negative (5.0)] ubah, oleh suara liat prabowo capres anies konsisten kelak anies presiden konsisten anies komentar konsisten prabowo oposisi moga bukti apa jalur ubah,['oleh suara [Negative (1.0)] liat [Negative (1.0)] prabowo capres anies konsisten kelak anies presiden konsisten anies komentar konsisten prabowo oposisi [Negative (3.0)] moga [Positive (1.0)] bukti [Negative (3.0)] apa [Negative (4.0)] jalur [Negative (5.0)] ubah'],-5.0,Negative,oleh suara liat prabowo capres anies konsisten kelak anies presiden konsisten anies komentar konsisten prabowo oposisi moga bukti apa jalur ubah
partai dukung [Positive (4.0)] prabowo subianto parlemen [Negative (3.0)] golkar gerindra demokrat pan lawan [Negative (4.0)] tim [Negative (5.0)] oposisi [Negative (4.0)] pdi pkb pks nasdem perintah prabowo demo [Negative (3.0)] drama [Negative (5.0)] walk out sidang [Negative (3.0)] kubu oposisi [Negative (3.0)], partai dukung prabowo subianto parlemen golkar gerindra demokrat pan lawan tim oposisi pdi pkb pks nasdem perintah prabowo demo drama walk out sidang kubu oposisi,['partai dukung [Positive (4.0)] prabowo subianto parlemen [Negative (3.0)] golkar gerindra demokrat pan lawan [Negative (4.0)] tim [Negative (5.0)] oposisi [Negative (4.0)] pdi pkb pks nasdem perintah prabowo demo [Negative (3.0)] drama [Negative (5.0)] walk out sidang [Negative (3.0)] kubu oposisi [Negative (3.0)]'],4.0,Positive,partai dukung prabowo subianto parlemen golkar gerindra demokrat pan lawan tim oposisi pdi pkb pks nasdem perintah prabowo demo drama walk out sidang kubu oposisi
halaah paling ngerengek, halaah paling ngerengek,['halaah paling ngerengek'],0.0,Neutral,halaah paling ngerengek
turun [Negative (3.0)] ribu malaikat nobat imam [Negative (3.0)] mahdi [Positive (3.0)] sampek fatwa wajib pilih [Negative (2.0)] anis eh aja [Positive (1.0)] kalah [Negative (4.0)] rugi [Negative (6.0)] sadar [Negative (1.0)] mas anis istigfar allah [Positive (5.0)] tu mimpin indonesia mas anis allah [Positive (5.0)] biar [Negative (3.0)] ribu rintang mas anis tetep sdhlah ikhlas [Positive (4.0)] bayar [Negative (3.0)] hutang [Negative (6.0)] mas anis pilkades yah kmi bantu [Negative (4.0)] salam chuakks, turun ribu malaikat nobat imam mahdi sampek fatwa wajib pilih anis eh aja kalah rugi sadar mas anis istigfar allah tu mimpin indonesia mas anis allah biar ribu rintang mas anis tetep sdhlah ikhlas bayar hutang mas anis pilkades yah kmi bantu salam chuakks,['turun [Negative (3.0)] ribu malaikat nobat imam [Negative (3.0)] mahdi [Positive (3.0)] sampek fatwa wajib pilih [Negative (2.0)] anis eh aja [Positive (1.0)] kalah [Negative (4.0)] rugi [Negative (6.0)] sadar [Negative (1.0)] mas anis istigfar allah [Positive (5.0)] tu mimpin indonesia mas anis allah [Positive (5.0)] biar [Negative (3.0)] ribu rintang mas anis tetep sdhlah ikhlas [Positive (4.0)] bayar [Negative (3.0)] hutang [Negative (6.0)] mas anis pilkades yah kmi bantu [Negative (4.0)] salam chuakks'],0.0,Neutral,turun ribu malaikat nobat imam mahdi sampek fatwa wajib pilih anis eh aja kalah rugi sadar mas anis istigfar allah tu mimpin indonesia mas anis allah biar ribu rintang mas anis tetep sdhlah ikhlas bayar hutang mas anis pilkades yah kmi bantu salam chuakks
masuk [Negative (3.0)] politik [Negative (1.0)] anies gera keren keren indonesia ajar [Negative (3.0)] kelas [Negative (4.0)] inspirasi [Negative (4.0)] presiden inisiasi gera semangat [Negative (1.0)], masuk politik anies gera keren keren indonesia ajar kelas inspirasi presiden inisiasi gera semangat,['masuk [Negative (3.0)] politik [Negative (1.0)] anies gera keren keren indonesia ajar [Negative (3.0)] kelas [Negative (4.0)] inspirasi [Negative (4.0)] presiden inisiasi gera semangat [Negative (1.0)]'],0.0,Neutral,masuk politik anies gera keren keren indonesia ajar kelas inspirasi presiden inisiasi gera semangat
percaya [Positive (2.0)] omong [Negative (4.0)] anies percaya [Positive (2.0)] psk aku [Negative (1.0)] perawan, percaya omong anies percaya psk aku perawan,['percaya [Positive (2.0)] omong [Negative (4.0)] anies percaya [Positive (2.0)] psk aku [Negative (1.0)] perawan'],2.0,Positive,percaya omong anies percaya psk aku perawan
dukung [Positive (4.0)] anies oposisi [Negative (3.0)] aja [Positive (1.0)] anies masuk [Negative (3.0)] perintah kecewa masyarakat gerombol [Negative (4.0)] ubah tanggung [Negative (2.0)] tunai [Positive (3.0)] pilih [Negative (2.0)] pilih [Negative (2.0)] semangat [Negative (1.0)], dukung anies oposisi aja anies masuk perintah kecewa masyarakat gerombol ubah tanggung tunai pilih pilih semangat,['dukung [Positive (4.0)] anies oposisi [Negative (3.0)] aja [Positive (1.0)] anies masuk [Negative (3.0)] perintah kecewa masyarakat gerombol [Negative (4.0)] ubah tanggung [Negative (2.0)] tunai [Positive (3.0)] pilih [Negative (2.0)] pilih [Negative (2.0)] semangat [Negative (1.0)]'],3.0,Positive,dukung anies oposisi aja anies masuk perintah kecewa masyarakat gerombol ubah tanggung tunai pilih pilih semangat
yaa moga [Positive (1.0)] beliau konsisten beliau ucap [Negative (2.0)] good [Positive (5.0)] luck [Positive (5.0)] for the next [Negative (2.0)] path, yaa moga beliau konsisten beliau ucap good luck for the next path,['yaa moga [Positive (1.0)] beliau konsisten beliau ucap [Negative (2.0)] good [Positive (5.0)] luck [Positive (5.0)] for the next [Negative (2.0)] path'],5.0,Positive,yaa moga beliau konsisten beliau ucap good luck for the next path
rakyat lawan [Negative (4.0)] politik [Negative (1.0)] nies, rakyat lawan politik nies,['rakyat lawan [Negative (4.0)] politik [Negative (1.0)] nies'],0.0,Neutral,rakyat lawan politik nies
latih [Negative (2.0)] oposisi [Negative (4.0)], latih oposisi,['latih [Negative (2.0)] oposisi [Negative (4.0)]'],-4.0,Negative,latih oposisi
sedih [Negative (5.0)] liat [Negative (1.0)] anies kalah [Negative (4.0)] nasehat nasehat pakar [Negative (1.0)] pakar [Negative (1.0)] belakang tukang [Negative (2.0)] hasut salah [Negative (4.0)] starategi niat cari [Negative (3.0)] simpati rakyat rakyat simpati proses [Positive (1.0)] milih [Negative (2.0)] wakil debat [Positive (3.0)] orasi jis konsisten serang [Negative (4.0)] jatuh [Negative (4.0)], sedih liat anies kalah nasehat nasehat pakar pakar belakang tukang hasut salah starategi niat cari simpati rakyat rakyat simpati proses milih wakil debat orasi jis konsisten serang jatuh,['sedih [Negative (5.0)] liat [Negative (1.0)] anies kalah [Negative (4.0)] nasehat nasehat pakar [Negative (1.0)] pakar [Negative (1.0)] belakang tukang [Negative (2.0)] hasut salah [Negative (4.0)] starategi niat cari [Negative (3.0)] simpati rakyat rakyat simpati proses [Positive (1.0)] milih [Negative (2.0)] wakil debat [Positive (3.0)] orasi jis konsisten serang [Negative (4.0)] jatuh [Negative (4.0)]'],-4.0,Negative,sedih liat anies kalah nasehat nasehat pakar pakar belakang tukang hasut salah starategi niat cari simpati rakyat rakyat simpati proses milih wakil debat orasi jis konsisten serang jatuh
tau [Negative (4.0)] menteri prabowo, tau menteri prabowo,['tau [Negative (4.0)] menteri prabowo'],-4.0,Negative,tau menteri prabowo
ubah haluan masuk [Negative (3.0)] kabinet [Negative (4.0)] prabowo jalur [Negative (4.0)] ubah, ubah haluan masuk kabinet prabowo jalur ubah,['ubah haluan masuk [Negative (3.0)] kabinet [Negative (4.0)] prabowo jalur [Negative (4.0)] ubah'],-4.0,Negative,ubah haluan masuk kabinet prabowo jalur ubah
kawal [Negative (2.0)] gera massa rakyat, kawal gera massa rakyat,['kawal [Negative (2.0)] gera massa rakyat'],-2.0,Negative,kawal gera massa rakyat
semangat [Negative (1.0)] anies dukung [Positive (4.0)] apa [Negative (3.0)] laku positif [Positive (4.0)] senang [Negative (4.0)] silah [Positive (3.0)], semangat anies dukung apa laku positif senang silah,['semangat [Negative (1.0)] anies dukung [Positive (4.0)] apa [Negative (3.0)] laku positif [Positive (4.0)] senang [Negative (4.0)] silah [Positive (3.0)]'],-4.0,Negative,semangat anies dukung apa laku positif senang silah
serah [Negative (3.0)] oh ya [Positive (4.0)] dukung [Positive (5.0)] jenazah [Negative (4.0)] sholatkan kaya [Negative (2.0)] pilgub dki, serah oh ya dukung jenazah sholatkan kaya pilgub dki,['serah [Negative (3.0)] oh ya [Positive (4.0)] dukung [Positive (5.0)] jenazah [Negative (4.0)] sholatkan kaya [Negative (2.0)] pilgub dki'],5.0,Positive,serah oh ya dukung jenazah sholatkan kaya pilgub dki
fekaes jaman [Negative (2.0)] kuda gigit [Negative (2.0)] roti emang oposan opisiisi oposasa oposono ora [Negative (3.0)] urus wan [Negative (4.0)] abud ludes [Negative (5.0)], fekaes jaman kuda gigit roti emang oposan opisiisi oposasa oposono ora urus wan abud ludes,['fekaes jaman [Negative (2.0)] kuda gigit [Negative (2.0)] roti emang oposan opisiisi oposasa oposono ora [Negative (3.0)] urus wan [Negative (4.0)] abud ludes [Negative (5.0)]'],-5.0,Negative,fekaes jaman kuda gigit roti emang oposan opisiisi oposasa oposono ora urus wan abud ludes
ya [Positive (4.0)] ngono aja [Positive (1.0)] ngajakin emoh melu kon, ya ngono aja ngajakin emoh melu kon,['ya [Positive (4.0)] ngono aja [Positive (1.0)] ngajakin emoh melu kon'],0.0,Neutral,ya ngono aja ngajakin emoh melu kon
